Amount of iterations, Amount of points, Time GPU, Time CPU
160, 170, 1.793360, 8.767191
210, 170, 1.895746, 11.499804
260, 170, 2.007556, 14.231801
310, 170, 2.168097, 16.987000
360, 170, 2.206099, 19.699533
410, 170, 2.294414, 22.438601
460, 170, 2.407390, 25.184988
510, 170, 2.568205, 27.960367
560, 170, 2.613483, 30.644451
610, 170, 2.729369, 33.391109
660, 170, 2.880736, 36.170677
710, 170, 2.919341, 38.881458
760, 170, 3.071630, 41.656185
810, 170, 3.153193, 44.380081
860, 170, 3.252290, 47.111942
910, 170, 3.329484, 49.904850
960, 170, 3.477876, 52.544422
10, 190, 1.533049, 0.615062
60, 190, 1.604727, 3.673651
110, 190, 1.732100, 6.735331
160, 190, 1.809999, 9.800891
210, 190, 1.906155, 12.848269
260, 190, 2.013847, 15.904216
310, 190, 2.150234, 18.955158
360, 190, 2.250178, 22.025951
410, 190, 2.323944, 25.091076
460, 190, 2.414826, 28.118093
510, 190, 2.591008, 31.449783
560, 190, 2.643799, 34.433662
610, 190, 2.788445, 37.848114
660, 190, 2.942493, 40.831902
710, 190, 2.959824, 44.252167
760, 190, 3.099561, 47.321796
810, 190, 3.164420, 49.780907
860, 190, 3.347941, 52.589619
910, 190, 3.381573, 55.638985
960, 190, 3.491222, 58.707508
10, 210, 1.516895, 0.679860
60, 210, 1.625115, 4.062023
110, 210, 1.766412, 7.580976
160, 210, 1.872056, 10.829892
210, 210, 2.038558, 14.205421
260, 210, 2.085812, 17.578913
310, 210, 2.204363, 20.945690
360, 210, 2.338844, 24.337864
410, 210, 2.491194, 27.751179
460, 210, 2.574570, 31.082905
510, 210, 2.689440, 34.455639
560, 210, 2.852760, 37.909664
610, 210, 2.902460, 41.215824
660, 210, 3.062908, 44.639690
710, 210, 3.135870, 47.972469
760, 210, 3.336236, 51.624725
810, 210, 3.387292, 54.708912
860, 210, 3.528456, 58.446552
910, 210, 3.613260, 61.472382
960, 210, 3.776682, 64.895248
10, 230, 1.539496, 0.743858
60, 230, 1.670747, 4.443606
110, 230, 1.803008, 8.171377
160, 230, 1.954004, 11.849142
210, 230, 2.103039, 15.546524
260, 230, 2.178752, 19.267868
310, 230, 2.350107, 22.998608
360, 230, 2.496311, 26.697338
410, 230, 2.624794, 30.354465
460, 230, 2.726112, 34.062035
510, 230, 2.856848, 38.051868
560, 230, 2.983150, 41.455509
610, 230, 3.149415, 45.167618
660, 230, 3.295372, 49.212101
710, 230, 3.415815, 52.797535
760, 230, 3.516963, 56.389282
810, 230, 3.670921, 60.405540
860, 230, 3.804647, 63.964405
910, 230, 3.905115, 67.911484
960, 230, 4.042016, 71.113327
10, 250, 1.571178, 0.808703
60, 250, 1.679467, 4.835469
110, 250, 1.802656, 8.850328
160, 250, 1.966192, 12.893211
210, 250, 2.083189, 16.912167
260, 250, 2.246594, 20.948648
310, 250, 2.336704, 24.955795
360, 250, 2.471653, 28.977219
410, 250, 2.687000, 33.007107
460, 250, 2.736538, 37.002502
510, 250, 2.880981, 41.359520
560, 250, 3.004282, 45.062050
610, 250, 3.148085, 49.276539
660, 250, 3.278823, 53.192585
710, 250, 3.448506, 57.640999
760, 250, 3.552108, 61.895184
810, 250, 3.722809, 65.996605
860, 250, 3.908231, 70.132881
910, 250, 3.957624, 74.392418
960, 250, 4.104225, 78.115044
10, 270, 1.042634, 0.872543
60, 270, 1.143106, 5.222373
110, 270, 1.340079, 9.825322
160, 270, 1.433517, 14.152547
210, 270, 1.560565, 18.291773
260, 270, 1.704706, 22.914089
310, 270, 1.861998, 27.420223
360, 270, 1.985151, 31.389978
410, 270, 2.075083, 35.650307
460, 270, 2.256701, 40.264622
510, 270, 2.368469, 44.812534
560, 270, 2.493089, 48.689514
610, 270, 2.610785, 52.978943
660, 270, 2.784455, 57.399475
710, 270, 2.900088, 61.985790
760, 270, 3.046007, 66.746384
810, 270, 3.185546, 71.237625
860, 270, 3.350424, 75.609009
910, 270, 3.477088, 79.457008
960, 270, 3.596472, 83.419006
10, 290, 1.026004, 0.944476
60, 290, 1.180495, 5.665877
110, 290, 1.278491, 10.277376
160, 290, 1.539369, 15.377188
210, 290, 1.613428, 20.166407
260, 290, 1.763243, 24.725573
310, 290, 1.847726, 29.099689
360, 290, 1.976841, 33.714031
410, 290, 2.094946, 38.786549
460, 290, 2.284511, 43.731255
510, 290, 2.359114, 48.105339
560, 290, 2.526556, 53.459816
610, 290, 2.620089, 57.747692
660, 290, 2.794031, 62.063026
710, 290, 2.945889, 67.057663
760, 290, 3.038917, 71.651436
810, 290, 3.217161, 76.088913
860, 290, 3.319433, 80.287605
910, 290, 3.511526, 85.102951
960, 290, 3.641286, 89.589546
10, 310, 1.018879, 1.001257
60, 310, 1.163508, 5.993056
110, 310, 1.303881, 10.980182
160, 310, 1.409508, 15.966357
210, 310, 1.575432, 20.955856
260, 310, 1.732757, 25.945333
310, 310, 1.829882, 31.230923
360, 310, 1.971496, 35.955948
410, 310, 2.117302, 40.925240
460, 310, 2.257417, 47.001472
510, 310, 2.387906, 51.560677
560, 310, 2.531757, 56.032532
610, 310, 2.653900, 61.005493
660, 310, 2.792229, 65.858925
710, 310, 2.912394, 70.892685
760, 310, 3.019030, 75.847099
810, 310, 3.215262, 80.843185
860, 310, 3.326227, 85.821686
910, 310, 3.427332, 90.758423
960, 310, 3.571078, 95.808624
10, 330, 1.018621, 1.066693
60, 330, 1.148815, 6.383231
110, 330, 1.279173, 11.694708
160, 330, 1.431418, 17.002384
210, 330, 1.571354, 22.314184
260, 330, 1.668467, 27.615513
310, 330, 1.810245, 32.932728
360, 330, 1.989776, 38.243496
410, 330, 2.101754, 43.610424
460, 330, 2.243773, 48.867180
510, 330, 2.364977, 54.369255
560, 330, 2.533481, 59.508953
610, 330, 2.641081, 64.830467
660, 330, 2.782661, 70.128784
710, 330, 2.904427, 75.491478
760, 330, 3.117149, 80.917633
810, 330, 3.233525, 86.410233
860, 330, 3.328677, 92.084106
910, 330, 3.465263, 97.288284
960, 330, 3.589078, 102.293098
10, 350, 1.020765, 1.129362
60, 350, 1.144907, 6.762872
110, 350, 1.294267, 12.397840
160, 350, 1.416531, 18.020592
210, 350, 1.583363, 23.658390
260, 350, 1.698637, 29.358006
310, 350, 1.808088, 34.933495
360, 350, 2.033947, 41.146427
410, 350, 2.091824, 46.266335
460, 350, 2.267617, 52.098156
510, 350, 2.403304, 57.479576
560, 350, 2.553199, 63.279175
610, 350, 2.650375, 68.856636
660, 350, 2.803577, 74.481079
710, 350, 2.915674, 79.997414
760, 350, 3.148752, 85.641914
810, 350, 3.196765, 91.401085
860, 350, 3.323425, 96.997688
910, 350, 3.462728, 102.900124
